"leafresp2","temp"
3.98612260689226,16.2
4.64478395743869,18.18
11.63333136917,19.51
5.02192526520395,15.03
10.9081210294148,17.7
7.90298949304505,16.03
5.70944084016788,17.23
2.96909240582348,13.24
8.50599069412116,19.04
2.4595308683938,13.64
7.85055448599863,15.43
5.73289930571732,16.81
2.80273061723107,14.49
7.17547118209652,15.09
4.08483733722882,16.6
7.6013027656205,16.67
8.48218570487194,17.86
1.13177228954761,12.87
7.99263448860059,17.29
2.64808264424038,14.3
8.76551829609286,16.52
9.71003898571348,18.97
1.48556964944383,12.52
3.0055409916205,14.88
5.75147823083598,19.15
6.09858046276044,17.52
4.23616105911962,14.67
3.39329517292343,14.47
2.81064318429644,19.58
0.94156420566867,11.23
9.55531933152475,18.53
9.65921048187803,17.67
1.7221341615705,10.66
2.51576099871947,11.6
2.99701331451842,16.59
3.00065730405643,17.49
1.91864295047379,11.26
2.64797519903504,13.46
2.12060561659131,12.14
2.47336140592153,12.42
5.18976064659961,15.99
5.79928881605527,17.89
1.11547922357333,9.16
4.56510352196992,14.58
3.66894270145133,12.24
2.29690991684707,15.61
6.63572751979198,15.94
1.28976653571224,13.73
3.16942992668297,18.09
8.59994765972348,19.17
4.30829607177707,17.48
3.58267110777096,17.39
0.277650914301956,9.26
10.4696130189476,20.14
3.59009735483127,12.44
4.46151355627843,16.21
6.20731038738273,16.23
1.35683691480522,13.37
6.23172988100424,17.83
1.50693774195426,12.77
3.43860682381333,15.75
7.14376431259609,17.5
3.65545012324122,13.64
3.91855379738665,14.96
8.46453621350377,17.9
3.89235800149281,18.71
1.64643130248052,11.99
6.68532068747876,16.51
5.78410126172125,14.26
3.2781238215766,17.08
5.02762223936647,19.51
4.78816323569952,12.24
2.89921185693852,11.8
2.53000512403988,12.05
2.99107362459279,13.08
2.18787353929196,11.63
2.75171895558071,15.44
4.63281802588872,13.02
9.37762789613243,16.47
1.48579235005337,13.7
5.27564788340221,15.78
5.26983288657908,16.25
4.0346746991726,13.46
6.62754435925622,16.16
2.23333933180317,11.92
4.71519346126497,11.1
4.2276333616563,20.41
11.3363491278028,17.45
4.19495512329797,13.88
1.80267048079345,11.53
5.97569169459683,14.21
3.22332269635055,12.95
2.64243482711174,13.31
2.05299132092666,15.61
5.58488295353066,14.88
5.37655074729146,15.42
9.19104568217892,19.93
1.00869156602,12.03
3.2600566728651,12.68
4.15599860020025,14.94
